,Restaurant ID,Restaurant Name,Restaurant Address,Restaurant City,Restaurant State,Restaurant ZIP,Health Inspection Score,Health Inspection Grade
211,PR0177195,CAPE SEAFOOD & PROVISIONS,801 N FAIRFAX AVE,LOS ANGELES,CA,90046,90,A
212,PR0174526,JIMMY JOHN'S,600 W 7TH ST # 160,LOS ANGELES,CA,90017,98,A
213,PR0177763,ORIGIN CAFE,8532 PICO BLVD,LOS ANGELES,CA,90035,98,A
214,PR0190575,CAFE SOLAR KITCHEN,6228 3/4 W MANCHESTER AVE,LOS ANGELES,CA,90045,90,A
215,PR0122743,CORAL FISH,6357 WILSHIRE BLVD,LOS ANGELES,CA,90048,92,A
216,PR0137944,PORTERHOUSE FRIED CHICKEN,2205 VERNON AVE,LOS ANGELES,CA,90008,97,A
217,PR0045310,CENTRO MERCADO LATINO,4339 DALTON AVE,LOS ANGELES,CA,90062,97,A
218,PR0122122,MARISCOS EL RINCON DE NAYARIT,1501 W VERNON AVE,LOS ANGELES,CA,90062,94,A
219,PR0045145,YANUSA SUSHI RESTAURANT,2740 W OLYMPIC BLVD,LOS ANGELES,CA,90006,93,A
220,PR0045361,JOLLIBEE,2700 COLORADO BLVD STE 105,LOS ANGELES,CA,90041,95,A
221,PR0033204,MALIBU FISH GRILL,8000 W SUNSET BLVD # A120,LOS ANGELES,CA,90046,95,A
222,PR0164919,OPERA HOUSE BAKERY,2740 W OLYMPIC BLVD,LOS ANGELES,CA,90006,99,A
223,PR0025512,POPEYES CHICKEN,3995 S WESTERN AVE,LOS ANGELES,CA,90062,97,A
224,PR0026587,KRISPY KREME DOUGHNUTS,4034 S CRENSHAW BLVD,LOS ANGELES,CA,90008,98,A
225,PR0004205,THE VEGGIE GRILL,8000 W SUNSET BLVD # 112,LOS ANGELES,CA,90046,93,A
226,PR0201924,ASHLAND BAR EARTH BAR / PANDA EXPRESS ASHLAND HILL,300 WORLD WAY # 329,LOS ANGELES,CA,90045,94,A
227,PR0042968,NAAB CAFE,1269 WESTWOOD BLVD,LOS ANGELES,CA,90024,90,A
228,PR0037894,CARL'S JR,308 WESTWOOD PLZ 505,LOS ANGELES,CA,90024,96,A
229,PR0201925,ASHLAND BAR EARTH BAR / PANDA EXPRESS ASHLAND HILL,300 WORLD WAY # 329,LOS ANGELES,CA,90045,90,A
230,PR0021412,PIZZA HUT #26158,4356 LEIMERT BLVD,LOS ANGELES,CA,90008,98,A
231,PR0190100,MAHARAJA,1321 WESTWOOD BLVD,LOS ANGELES,CA,90024,91,A
232,PR0168885,KIKKA SUSHI,308 WESTWOOD PLZ # A233B,LOS ANGELES,CA,90024,98,A
233,PR0201877,THE PARLOR,300 WORLD WAY # 342,LOS ANGELES,CA,90045,98,A
234,PR0045619,GAAM,3465 W 6TH ST STE 300,LOS ANGELES,CA,90020,91,A
235,PR0146435,EL CONDOR,3701 W SUNSET BLVD,LOS ANGELES,CA,90026,91,A
236,PR0032679,MICROSOFT THEATER,777 W CHICK HEARN CT,LOS ANGELES,CA,90015,98,A
237,PR0180822,MILLI'S CAFE,3528 W SUNSET BLVD,LOS ANGELES,CA,90026,96,A
238,PR0005684,MICROSOFT THEATER,777 W CHICK HEARN CT,LOS ANGELES,CA,90015,99,A
239,PR0039769,MICROSOFT THEATER,777 W CHICK HEARN CT,LOS ANGELES,CA,90015,98,A
240,PR0151009,BEUL,3819 W 6TH ST,LOS ANGELES,CA,90020,91,A
241,PR0013988,HANNAM CHAIN SUPERMARKET,2740 W OLYMPIC BLVD,LOS ANGELES,CA,90006,97,A
242,PR0122754,BORDER GRILL,380 WORLD WAY T38,LOS ANGELES,CA,90045,78,C
243,PR0020076,CLIFFS,3626 W SUNSET BLVD,LOS ANGELES,CA,90026,94,A
244,PR0188943,WH POKE BAR INC.,6215 TOPANGA CANYON BLVD,LOS ANGELES,CA,91367,95,A
